Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Jul,4,Friday,Mercury,Rural,Monday,Aug,2,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,more than 69000,432,7,400,3,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,54444.42,
Apr,3,Tuesday,Pontiac,Rural,Tuesday,May,1,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,436,1,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,9706.68,
Nov,1,Saturday,Chevrolet,Urban,Friday,Nov,2,Female,Single,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,443,2,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4079.32,
May,3,Wednesday,Toyota,Urban,Monday,Jun,1,Male,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,445,15,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,68447.7,
Jan,2,Friday,Honda,Rural,Wednesday,Jan,2,Female,Single,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,450,4,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,5006.87,
Mar,4,Sunday,Mazda,Urban,Tuesday,Mar,5,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,460,15,500,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Collision,5686.31,
Jan,5,Friday,Mazda,Urban,Tuesday,Feb,3,Male,Single,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,467,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1448.9,
Sep,5,Friday,Ford,Urban,Tuesday,Oct,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,40000 to 59000,476,5,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,3809.97,
May,1,Wednesday,Pontiac,Urban,Wednesday,May,2,Male,Single,22,Third Party,Sedan - Collision,Sedan,20000 to 29000,477,5,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,4614.16,
Apr,5,Sunday,Ford,Urban,Thursday,May,4,Male,Married,37,Third Party,Sedan - All Perils,Sedan,40000 to 59000,478,15,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1894.17,
Apr,3,Saturday,Mazda,Urban,Tuesday,Apr,3,Male,Married,57,Policy Holder,Sedan - Liability,Sport,30000 to 39000,479,6,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,3175.35,
Oct,4,Tuesday,Pontiac,Rural,Wednesday,Nov,1,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,481,10,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,61684.27,
Jun,3,Wednesday,Mazda,Urban,Saturday,Jul,1,Male,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,492,5,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,2727.6,
Oct,3,Wednesday,Pontiac,Urban,Thursday,Oct,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,less than 20000,499,11,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,87026.48,
Jan,2,Saturday,Pontiac,Rural,Thursday,Jan,2,Male,Married,74,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,504,10,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,66573.33,
Mar,2,Sunday,Toyota,Urban,Monday,Mar,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,more than 69000,505,3,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision,4443.26,
Feb,3,Saturday,Toyota,Urban,Monday,Feb,3,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,511,12,400,2,more than 30,more than 30,more than 4,3 years,26 to 30,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,All Perils,3415.07,
Feb,3,Friday,Toyota,Urban,Friday,Feb,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,30000 to 39000,514,7,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,71225.1,
Jan,4,Monday,Toyota,Rural,Thursday,Feb,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,less than 20000,520,8,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,64535.09,
Feb,1,Wednesday,Chevrolet,Urban,Wednesday,Feb,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,524,14,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,56339.75,
Feb,1,Friday,Mazda,Urban,Friday,Feb,1,Female,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,525,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,60713.46,
Feb,2,Monday,Mazda,Urban,Tuesday,Feb,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,less than 20000,526,11,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision,19242.06,
Feb,2,Saturday,Honda,Urban,Wednesday,Feb,3,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,528,13,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,2967.39,
Jan,2,Thursday,Ford,Urban,Thursday,Jan,4,Male,Married,49,Policy Holder,Sedan - Liability,Sport,40000 to 59000,530,16,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,2171.24,
Feb,2,Wednesday,Pontiac,Urban,Friday,Feb,3,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,533,1,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,6611.61,
Jan,2,Monday,Pontiac,Urban,Friday,Jan,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,534,7,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision,10964.11,
Feb,2,Sunday,Pontiac,Urban,Monday,Feb,2,Male,Married,80,Third Party,Sedan - All Perils,Sedan,less than 20000,535,8,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,13260.24,
Feb,3,Monday,Saab,Urban,Monday,Feb,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,538,13,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,7264.14,
Feb,4,Saturday,Chevrolet,Urban,Wednesday,Mar,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,540,11,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,17421.6,
Jan,5,Tuesday,Chevrolet,Urban,Friday,Mar,2,Male,Married,49,Policy Holder,Utility - All Perils,Utility,more than 69000,545,9,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,4266.57,
Feb,5,Monday,Toyota,Urban,Thursday,Mar,2,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,546,6,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,6673.85,
Feb,4,Monday,Chevrolet,Urban,Thursday,Mar,1,Male,Married,48,Third Party,Sedan - Collision,Sedan,30000 to 39000,547,5,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,1994,Collision,76682.16,
Feb,3,Saturday,Toyota,Urban,Thursday,Mar,2,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,548,7,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,6091.84,
Feb,1,Tuesday,Accura,Urban,Tuesday,Feb,3,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,556,16,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,8055.01,
Jan,4,Thursday,Toyota,Urban,Monday,Feb,3,Female,Married,38,Policy Holder,Sedan - All Perils,Sedan,less than 20000,559,6,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,8633.63,
Jan,2,Thursday,Toyota,Urban,Thursday,Jan,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,565,9,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,2651.99,
Aug,4,Tuesday,Pontiac,Urban,Friday,Aug,4,Female,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,569,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,19928.23,
Jun,1,Wednesday,Pontiac,Urban,Friday,Jun,1,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,581,7,400,3,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,6859.36,
Jun,4,Tuesday,Chevrolet,Urban,Friday,Jun,4,Male,Single,24,Third Party,Sedan - Collision,Sedan,20000 to 29000,585,13,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,60759.4,
Apr,4,Saturday,Chevrolet,Urban,Wednesday,May,1,Female,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,586,7,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,5580.64,
Jun,4,Friday,Mazda,Urban,Thursday,Jun,5,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,589,2,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision,9872.55,
Sep,2,Friday,Mazda,Urban,Sunday,Sep,2,Male,Single,27,Third Party,Sport - Collision,Sport,more than 69000,592,10,400,3,more than 30,more than 30,none,2 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,2345.66,
Jan,3,Friday,Toyota,Urban,Tuesday,Jan,4,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,593,12,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,8904.48,
Jul,2,Monday,Ford,Urban,Monday,Jul,2,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,596,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1294.84,
Apr,2,Friday,Pontiac,Urban,Monday,Apr,4,Male,Single,30,Third Party,Sedan - Liability,Sport,30000 to 39000,611,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1671.92,
May,5,Sunday,Toyota,Rural,Monday,Jun,1,Male,Single,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,612,5,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,5895.49,
Jul,2,Wednesday,Pontiac,Urban,Wednesday,Jul,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,613,16,500,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,Liability,2366.45,
Mar,4,Friday,Honda,Urban,Tuesday,Apr,1,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,617,15,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,4500.52,
May,4,Saturday,Mazda,Urban,Tuesday,Jun,3,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,621,4,700,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,4666.65,
Oct,5,Tuesday,Honda,Urban,Monday,Nov,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,623,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,19334.23,
Nov,3,Wednesday,Mazda,Urban,Friday,Nov,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,634,3,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,44240.95,
Nov,4,Monday,Honda,Urban,Wednesday,Dec,2,Male,Single,24,Policy Holder,Sport - Collision,Sport,more than 69000,638,5,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,1 year,1 vehicle,1994,Collision,7933.92,
Mar,4,Monday,Toyota,Urban,Tuesday,Mar,4,Male,Married,31,Third Party,Sedan - All Perils,Sedan,30000 to 39000,643,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,5420.28,
Jan,3,Monday,Mazda,Urban,Tuesday,Jan,4,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,647,13,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,71228.24,
Jan,3,Monday,Chevrolet,Rural,Wednesday,Jan,3,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,650,2,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,83308.92,
Sep,4,Saturday,Honda,Urban,Thursday,Sep,5,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,652,16,700,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils,52103.27,
Sep,2,Monday,Toyota,Urban,Tuesday,Sep,2,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,655,6,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,4212.51,
Aug,1,Tuesday,VW,Urban,Friday,Aug,1,Male,Married,35,Third Party,Sedan - All Perils,Sedan,60000 to 69000,664,2,500,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,All Perils,4914.37,
Dec,2,Wednesday,Mazda,Urban,Tuesday,Dec,3,Female,Married,47,Third Party,Sedan - Collision,Sedan,more than 69000,665,15,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,52239.23,
Jan,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,78,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,667,9,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,52635.58,
May,2,Wednesday,Toyota,Urban,Tuesday,May,4,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,675,13,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,66433.57,
Mar,5,Monday,Toyota,Urban,Tuesday,Apr,1,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,less than 20000,677,6,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,7199.08,
Apr,5,Saturday,Accura,Urban,Wednesday,May,1,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,679,1,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,51821.14,
May,3,Tuesday,Toyota,Urban,Tuesday,May,3,Female,Single,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,689,2,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,2883.72,
Sep,3,Thursday,VW,Urban,Friday,Sep,3,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,697,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,4534.15,
Mar,4,Monday,Mazda,Rural,Monday,Apr,2,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,700,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,2505.98,
Apr,4,Sunday,Toyota,Urban,Friday,Apr,5,Female,Married,50,Policy Holder,Sedan - All Perils,Sedan,more than 69000,708,9,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,85772.24,
Mar,3,Thursday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,49,Third Party,Sedan - Collision,Sedan,20000 to 29000,710,15,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3329.88,
Apr,3,Monday,Toyota,Urban,Monday,Apr,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,712,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,6914.77,
Jan,3,Thursday,Toyota,Urban,Wednesday,Feb,2,Female,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,714,14,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,849.73,
Jul,2,Tuesday,Toyota,Urban,Wednesday,Jul,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,715,14,500,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,2 to 3 years,2 vehicles,1994,Collision,1027.2,
Apr,4,Saturday,Mercury,Urban,Tuesday,May,1,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,722,3,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,10117.96,
Nov,4,Wednesday,Chevrolet,Urban,Thursday,Nov,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,724,1,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1158.18,
Jul,5,Monday,Pontiac,Urban,Tuesday,Sep,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,more than 69000,727,4,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,4506.68,
Mar,5,Wednesday,Pontiac,Rural,Friday,Apr,2,Male,Married,39,Third Party,Sedan - All Perils,Sedan,30000 to 39000,733,5,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,80983.99,
Jan,4,Friday,Chevrolet,Urban,Tuesday,Feb,1,Female,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,735,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,44749,
Mar,1,Thursday,Mazda,Urban,Tuesday,Mar,2,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,738,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,2475.74,
Mar,1,Friday,Saab,Urban,Thursday,Mar,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,739,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,Liability,2119.77,
Mar,3,Tuesday,Mazda,Urban,Wednesday,Apr,4,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,741,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3241.82,
Apr,2,Thursday,Pontiac,Urban,Wednesday,May,2,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,less than 20000,745,3,700,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,694.16,
Mar,4,Tuesday,Toyota,Rural,Thursday,Mar,4,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,750,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,2737.64,
Mar,3,Sunday,Toyota,Urban,Monday,Mar,3,Male,Single,78,Policy Holder,Sedan - All Perils,Sedan,less than 20000,757,8,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils,17388.77,
Mar,1,Friday,Chevrolet,Urban,Monday,Mar,1,Female,Single,36,Third Party,Sedan - Collision,Sedan,30000 to 39000,760,13,400,4,more than 30,more than 30,more than 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,7362.19,
Jan,3,Thursday,Pontiac,Urban,Thursday,Jan,3,Male,Single,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,761,7,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,7913.44,
Jan,4,Friday,Mazda,Urban,Tuesday,Mar,1,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,762,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,51274.39,
